,State,Class,Portrait,Name,Party,Occupation,Previous Office(s),Education,Assumed Office,Born,Seat Up
,Texas,1,,Ted Cruz,Republican,Lawyer in a law firm,"Law clerk for the U.S. 4th Circuit and Supreme Court, U.S. Associate Deputy Attorney General, federal policy advisor, Texas Solicitor General","Princeton University(BA)
Harvard University (JD)","January 3, 2013","December 22, 1970 (age 46)",2018
,Utah,1,,Orrin Hatch,Republican,"Janitor, construction worker, bishop, lawyer",None,"Brigham Young University, Utah (BA)
University of Pittsburgh(JD)","January 3, 1977","March 22, 1934 (age 82)",2018
,Utah,3,,Mike Lee,Republican,Lawyer in a law firm,"Law clerk for the U.S. District Court and 3rd Circuit, Assistant U.S. Attorney","Brigham Young University, Utah (BA; JD)","January 3, 2011","June 4, 1971 (age 45)",2022
,Vermont,3,,Patrick Leahy,Democratic,Lawyer in private practice,Chittenden County State's Attorney,"St. Michael's College (BA)
Georgetown University (JD)","January 3, 1975","March 31, 1940 (age 76)",2022
,Vermont,1,,Bernie Sanders,Independent[1],"Filmmaker, carpenter,[2] writer, researcher","Burlington Mayor, U.S. House","Brooklyn College(attended)
University of Chicago (BS)","January 3, 2007","September 8, 1941 (age 75)",2018
,Virginia,2,,Mark Warner,Democratic,"Businessperson, venture capitalist","Virginia Governor, Virginia Democratic Party Chair","George Washington University(BA)
Harvard University (JD)","January 3, 2009","December 15, 1954 (age 62)",2020
,Virginia,1,,Tim Kaine,Democratic,"Missionary, law clerk for the 11th Circuit, lawyer in private practice, teacher","Virginia Governor, Virginia Lieutenant Governor, Richmond Mayor, Richmond City Council, Democratic National Committee Chair","University of Missouri, Columbia (BA)
Harvard University (JD)","January 3, 2013","February 26, 1958 (age 58)",2018
,Washington,3,,Patty Murray,Democratic,"Preschool teacher, parenting teacher, lobbyist","Washington Senate, Shoreline School Board","Washington State University, Pullman (BA)","January 3, 1993","October 11, 1950 (age 66)",2022
,Washington,1,,Maria Cantwell,Democratic,Marketing vice president,"U.S. House, Washington House",Miami University(BA),"January 3, 2001","October 13, 1958 (age 58)",2018
,West Virginia,1,,Joe Manchin,Democratic,President of a coal mining company,"West Virginia Governor, West Virginia Secretary of State, West Virginia Senate, West Virginia House","West Virginia University, Morgantown(BS)","November 15, 2010","August 24, 1947 (age 69)",2018
,West Virginia,2,,Shelley Moore Capito,Republican,"Career counselor, West Virginia State University","U.S. House; West Virginia House of Delegates; Director, West Virginia Board of Regents Educational Information Center","Duke University(BS)
University of Virginia (MEd)","January 3, 2015","November 26, 1953 (age 63)",2020
,Wisconsin,3,,Ron Johnson,Republican,"Accountant, CEO of plastics manufacturer",None,"University of Minnesota, Twin Cities(BS)","January 3, 2011","April 8, 1955 (age 61)",2022
,Wisconsin,1,,Tammy Baldwin,Democratic,Lawyer in private practice,"U.S. House, Wisconsin Assembly, Dane County Board","Smith College(BA)
University of Wisconsin, Madison (JD)","January 3, 2013","February 11, 1962 (age 55)",2018
,Wyoming,2,,Mike Enzi,Republican,"Shoe salesman, president of nonprofit, accountant for an oil drilling company, executive director for a gas/coal/utilities company","Wyoming Air National Guard, Member of the Coal Advisory Committee (U.S. Interior Department), Wyoming Senate, Wyoming House, Gillette Mayor","George Washington University(BS)
University of Denver (MBA)","January 3, 1997","February 1, 1944 (age 73)",2020
,Wyoming,1,,John Barrasso,Republican,"Physician in private practice, orthopedic surgeon, chief of staff of a medical center, president/physician for several nonprofits",Wyoming Senate,"Rensselaer Polytechnic Institute(attended)
Georgetown University(BS; MD)","June 25, 2007","July 21, 1952 (age 64)",2018
